SKU  #,Vendor Model,Vendor  #,Item Desc,Store,Onhand Qty
187756,PT317,OB,14KT YELLOW-GOLD TRI-COLOR-GUADALUPE PENDANT,VJ-CHAND,1
187793,P57-18,OB,14KT YELLOW-GOLD RELIGIOUS DOUBLE SIDED PENDANT,VJ-CHAND,1
187968,DMR-40,OB,14KT YELLOW-GOLD VIRGIN MARY ROUND PENDANT,VJ-CHAND,1
187774,MR16,OB,14KT YELLOW-GOLD VIRGIN MARY MEDAL PENDANT,VJ-CHAND,1
187942,MG3-F,OB,14KT TRI-COLOR-GOLD VIRGIN MARY TEAR DROP PENDANT,VJ-CHAND,1
187794,MR12-C,OB,14KT YELLOW-GOLD 2TONE GUADALUPE ROUND MEDAL PENDANT,VJ-CHAND,1
158062,FD-14,OB,14KT TRI-COLOR GOLD SWEET 15 PENDANT,VJ-SERRA,1
187772,XM33,OB,14KT YELLOW-GOLD CRUCIFIX PENDANT,VJ-SERRA,1
187774,MR16,OB,14KT YELLOW-GOLD VIRGIN MARY MEDAL PENDANT,VJ-SERRA,1
187797,MRT7-B,OB,14KT TRICOLOR-GOLD D/C VIRGIN MARY PENDANT,VJ-SERRA,1
187744,PT316,OB,14KT YELLOW-GOLD LADY OF GUADALUPE PENDANT,VJ-CHAND,1
189395,PT839,OB,14KT YELLOW-GOLD CRUCIFIX CROSS PENDANT,VJ-CHAND,1
189421,PT6,OB,14KT WHITE-GOLD CRUCIFIX CROSS PENDANT,VJ-CHAND,1
187948,MOCB3-C517-JESUS,OB,14KT YELLOW-GOLD CZ JESUS PENDANT,VJ-INLND,1
158065,FD-19-JESUS,OB,14KT 2TONE-GOLD JESUS PENDANT,VJ-FRE,1
187943,MTFT5-C317,OB,14KT TRICOLOR-GOLD CZ ST. JUDE PENDANT,VJ-FRE,1
187945,MTFT5-C312,OB,14KT TWO TONE-GOLD MULTICOLOR CZ JESUS OVAL PENDANT,VJ-FRE,1
192203,KM-5,OB,14KT 2TONE-GOLD D/C CRUCIFIX CROSS PENDANT,VJ-FRE,1
187941,PT1339,OB,14KT WHITE-GOLD VIRGIN MARY PENDANT,VJ-FRE,1
167611,PT305,OB,14KT TRI-COLOR GOLD ST.BERNADETTE PENDANT,VJ-FRE,1
187774,MR16,OB,14KT YELLOW-GOLD VIRGIN MARY MEDAL PENDANT,VJ-FRE,1
187772,XM33,OB,14KT YELLOW-GOLD CRUCIFIX PENDANT,VJ-FRE,1
167618,426-DR20,OB,14K YELLOW-GOLD PRAYING VIRGIN MARY PENDANT,VJ-FRE,1
167617,ATA992,OB,14KT YELLOW-GOLD BUTTERFLY PENDANT,VJ-FRE,1
188321,DPN11,OB,14KT 2TONE-GOLD GRIM REAPER PENDANT,VJ-FRE,1
187948,MOCB3-C517-JESUS,OB,14KT YELLOW-GOLD CZ JESUS PENDANT,VJ-FRE,1
187800,PT318,OB,14KT YELLOW-GOLD VIRGIN MARY PENDANT,VJ-FRE,1
187794,MR12-C,OB,14KT YELLOW-GOLD 2TONE GUADALUPE ROUND MEDAL PENDANT,VJ-PB,1
187762,XM34,OB,14KT YELLOW-GOLD CRUCIFIX CROSS PENDANT,VJ-ROSE,1
192203,KM-5,OB,14KT 2TONE-GOLD D/C CRUCIFIX CROSS PENDANT,VJ-PB,1
187772,XM33,OB,14KT YELLOW-GOLD CRUCIFIX PENDANT,VJ-PB,1
187762,XM34,OB,14KT YELLOW-GOLD CRUCIFIX CROSS PENDANT,VJ-PB,1
187945,MTFT5-C312,OB,14KT TWO TONE-GOLD MULTICOLOR CZ JESUS OVAL PENDANT,VJ-CULVER,1
187948,MOCB3-C517-JESUS,OB,14KT YELLOW-GOLD CZ JESUS PENDANT,VJ-CULVER,1
192209,MTSC2-4,OB,14KT YELLOW-GOLD D/C CZ CRUCIFIX IN HEART SHAPE PENDANT,VJ-CULVER,1
187938,XTC01-6H,OB,14KT 2TONE-GOLD CRUCIFIX CROSS PENDANT,VJ-CULVER,1
189423,XM29,OB,14KT YELLOW-GOLD ANHOR CRUCIFIX CROSS PENDANT,VJ-CULVER,1
158076,AD9,OB,"14KT TRI-COLOR GOLD ""XV"" SWEET 15 RING",VJ-CULVER,1
188330,PT843,OB,14KT WHITE-GOLD CRUCIFIX CROSS PENDANT,VJ-ROSE,1
188039,XTC01-6B,OB,14KT 2TONE-GOLD CRUCIFIX CROSS PENDANT,VJ-ROSE,1
169820,XV3,OB,14KT 2TONE GOLD CARAVACA PENDANT,VJ-ROSE,1
188041,PT1350,OB,14KT WHITE-GOLD D/C CRUCIFIX CROSS PENDANT,VJ-ROSE,1
